Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,0,0.00,0.00,0
2.2,0,0.00,0.00,0
2.3,0,0.00,0.00,0
2.4,0,0.00,0.00,0
2.5,0,0.00,0.00,0
2.6,0,0.00,0.00,0
2.7,0,0.00,0.00,0
2.8,0,0.00,0.00,0
2.9,0,0.00,0.00,0
3.0,0,0.00,0.00,0
3.1,351,35.10,513.26,351
3.2,0,0.00,0.00,351
3.3,0,0.00,0.00,351
3.4,0,0.00,0.00,351
3.5,0,0.00,0.00,351
3.6,0,0.00,0.00,351
3.7,0,0.00,0.00,351
3.8,1724,100.00,730.71,2075
3.9,0,0.00,0.00,2075
4.0,0,0.00,0.00,2075
4.1,0,0.00,0.00,2075
4.2,0,0.00,0.00,2075
4.3,0,0.00,0.00,2075
4.4,0,0.00,0.00,2075
4.5,0,0.00,0.00,2075
4.6,1724,0.10,13.57,3799
4.7,0,0.00,0.00,3799
4.8,0,0.00,0.00,3799
4.9,0,0.00,0.00,3799
5.0,0,0.00,0.00,3799
5.1,0,0.00,0.00,3799
5.2,0,0.00,0.00,3799
5.3,1724,0.10,12.74,5523
5.4,0,0.00,0.00,5523
5.5,0,0.00,0.00,5523
5.6,0,0.00,0.00,5523
5.7,0,0.00,0.00,5523
5.8,0,0.00,0.00,5523
5.9,0,0.00,0.00,5523
