Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,672,67.20,905.61,672
2.2,0,0.00,0.00,672
2.3,0,0.00,0.00,672
2.4,0,0.00,0.00,672
2.5,0,0.00,0.00,672
2.6,0,0.00,0.00,672
2.7,0,0.00,0.00,672
2.8,1724,100.00,1201.92,2396
2.9,0,0.00,0.00,2396
3.0,0,0.00,0.00,2396
3.1,0,0.00,0.00,2396
3.2,0,0.00,0.00,2396
3.3,0,0.00,0.00,2396
3.4,0,0.00,0.00,2396
3.5,0,0.00,0.00,2396
3.6,1724,0.30,13.57,4120
3.7,0,0.00,0.00,4120
3.8,0,0.00,0.00,4120
3.9,0,0.00,0.00,4120
4.0,0,0.00,0.00,4120
4.1,0,0.00,0.00,4120
4.2,0,0.00,0.00,4120
4.3,1724,0.10,12.91,5844
4.4,0,0.00,0.00,5844
4.5,0,0.00,0.00,5844
4.6,0,0.00,0.00,5844
4.7,0,0.00,0.00,5844
4.8,0,0.00,0.00,5844
4.9,0,0.00,0.00,5844
5.0,0,0.00,0.00,5844
5.1,1724,0.10,14.20,7568
5.2,0,0.00,0.00,7568
5.3,0,0.00,0.00,7568
5.4,0,0.00,0.00,7568
5.5,0,0.00,0.00,7568
5.6,0,0.00,0.00,7568
5.7,0,0.00,0.00,7568
5.8,0,0.00,0.00,7568
5.9,1536,0.10,17.84,9104
