Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
19.7,0,0.00,0.00,0
19.8,0,0.00,0.00,0
19.9,1724,0.01,12.89,0
20.0,0,0.00,0.00,0
20.1,0,0.00,0.00,0
20.2,0,0.00,0.00,0
20.3,0,0.00,0.00,0
20.4,0,0.00,0.00,0
20.5,0,0.00,0.00,0
20.6,0,0.00,0.00,0
20.7,1724,0.01,13.31,0
20.8,0,0.00,0.00,0
20.9,0,0.00,0.00,0
21.0,0,0.00,0.00,0
21.1,0,0.00,0.00,0
21.2,0,0.00,0.00,0
21.3,0,0.00,0.00,0
21.4,1724,0.01,13.86,0
21.5,0,0.00,0.00,0
21.6,0,0.00,0.00,0
21.7,0,0.00,0.00,0
21.8,0,0.00,0.00,0
21.9,0,0.00,0.00,0
22.0,0,0.00,0.00,0
22.1,326,0.01,12.94,0
22.2,1398,0.01,12.92,0
22.3,0,0.00,0.00,0
22.4,0,0.00,0.00,0
22.5,0,0.00,0.00,0
22.6,0,0.00,0.00,0
22.7,0,0.00,0.00,0
22.8,0,0.00,0.00,0
22.9,1724,0.01,13.15,0
23.0,0,0.00,0.00,0
23.1,0,0.00,0.00,0
23.2,0,0.00,0.00,0
23.3,0,0.00,0.00,0
23.4,0,0.00,0.00,0
23.5,0,0.00,0.00,0
23.6,0,0.00,0.00,0
23.7,0,0.00,0.00,0
23.8,0,0.00,0.00,0
23.9,666,0.01,12.43,0
24.0,0,0.00,0.00,0
24.1,0,0.00,0.00,0
