Time(s),Count,PeakQueue(%),AvgLatency(us),AttacksTotal
0.1,0,0.00,0.00,0
0.2,0,0.00,0.00,0
0.3,0,0.00,0.00,0
0.4,0,0.00,0.00,0
0.5,0,0.00,0.00,0
0.6,0,0.00,0.00,0
0.7,0,0.00,0.00,0
0.8,0,0.00,0.00,0
0.9,0,0.00,0.00,0
1.0,0,0.00,0.00,0
1.1,0,0.00,0.00,0
1.2,0,0.00,0.00,0
1.3,0,0.00,0.00,0
1.4,0,0.00,0.00,0
1.5,0,0.00,0.00,0
1.6,0,0.00,0.00,0
1.7,0,0.00,0.00,0
1.8,0,0.00,0.00,0
1.9,0,0.00,0.00,0
2.0,0,0.00,0.00,0
2.1,3,0.01,239.52,3
2.2,0,0.00,0.00,3
2.3,0,0.00,0.00,3
2.4,0,0.00,0.00,3
2.5,0,0.00,0.00,3
2.6,0,0.00,0.00,3
2.7,0,0.00,0.00,3
2.8,0,0.00,0.00,3
2.9,1424,9.28,759.25,1427
3.0,300,0.01,13.19,1727
3.1,0,0.00,0.00,1727
3.2,0,0.00,0.00,1727
3.3,0,0.00,0.00,1727
3.4,0,0.00,0.00,1727
3.5,0,0.00,0.00,1727
3.6,0,0.00,0.00,1727
3.7,1724,0.01,12.83,3451
3.8,0,0.00,0.00,3451
3.9,0,0.00,0.00,3451
4.0,0,0.00,0.00,3451
4.1,0,0.00,0.00,3451
4.2,0,0.00,0.00,3451
4.3,0,0.00,0.00,3451
4.4,440,0.01,13.17,3891
4.5,1284,0.01,13.41,5175
4.6,0,0.00,0.00,5175
4.7,0,0.00,0.00,5175
4.8,0,0.00,0.00,5175
4.9,0,0.00,0.00,5175
5.0,0,0.00,0.00,5175
5.1,0,0.00,0.00,5175
5.2,1724,0.01,13.05,6899
5.3,0,0.00,0.00,6899
5.4,0,0.00,0.00,6899
5.5,0,0.00,0.00,6899
5.6,0,0.00,0.00,6899
5.7,0,0.00,0.00,6899
5.8,0,0.00,0.00,6899
5.9,1163,0.01,12.91,8062
